participant.cnpjNumber,foreignCurrency,transactionType,value,valueUpdateDateTime,transactionCategory,targetAudience,lastUpdate
191,USD,COMPRA,4.998500,2024-03-19T18:11:54Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:21Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:26Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:31Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:36Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:41Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:46Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:51Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:12:56Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:01Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:06Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:11Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:16Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:21Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:26Z
191,USD,COMPRA,4.999000,2024-03-19T18:12:20Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:31Z
191,USD,COMPRA,4.999500,2024-03-19T18:13:30Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:36Z
191,USD,COMPRA,5.000000,2024-03-19T18:13:35Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:41Z
191,USD,COMPRA,5.000000,2024-03-19T18:13:35Z,CAPITAIS_BRASILEIROS,PESSOA_JURIDICA,2024-03-19T15:13:46Z
