participant.cnpjNumber,foreignCurrency,transactionType,value,valueUpdateDateTime,transactionCategory,targetAudience,lastUpdate
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:28Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:33Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:39Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:45Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:51Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:56Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:03Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:08Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:14Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:19Z
191,USD,COMPRA,4.8405,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:25Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:28Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:33Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:39Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:45Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:51Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:56Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:03Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:08Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:14Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:19Z
191,USD,VENDA,5.1395,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:25Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:39Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:45Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:51Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:56Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:03Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:08Z
191,EUR,COMPRA,5.239478,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:25Z
191,EUR,COMPRA,5.239962,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:28Z
191,EUR,COMPRA,5.239962,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:33Z
191,EUR,COMPRA,5.239962,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:14Z
191,EUR,COMPRA,5.239962,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:26:19Z
191,EUR,VENDA,5.574173,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:28Z
191,EUR,VENDA,5.574173,2024-03-25T14:56:59Z,VIAGENS_INTERNACIONAIS,PESSOA_NATURAL_JURIDICA,2024-03-25T15:25:33Z
